cycle,counter,state,i,s,j,k,u7mi,u6mi,u7s1,u6s1,usi,u7ss,addr1_var,addr2_var,addr3_var,inverse,addr1w,addr2w,fin_sig
0,1,0,6,1,1,0,1,0,2,1,64,1,2,3,65,False,0,0,False
1,2,0,6,2,2,0,1,0,2,1,64,2,4,5,66,False,0,0,False
2,3,0,6,3,3,0,1,0,2,1,64,3,6,7,67,False,0,0,False
3,4,0,6,4,4,0,1,0,2,1,64,4,8,9,68,False,0,0,False
4,5,0,6,5,5,0,1,0,2,1,64,5,10,11,69,False,0,0,False
5,6,0,6,6,6,0,1,0,2,1,64,6,12,13,70,False,0,0,False
6,7,0,6,7,7,0,1,0,2,1,64,7,14,15,71,False,0,0,False
7,8,0,6,8,8,0,1,0,2,1,64,8,16,17,72,False,2,3,False
8,9,0,6,9,9,0,1,0,2,1,64,9,18,19,73,False,4,5,False
9,10,0,6,10,10,0,1,0,2,1,64,10,20,21,74,False,6,7,False
10,11,0,6,11,11,0,1,0,2,1,64,11,22,23,75,False,8,9,False
11,12,0,6,12,12,0,1,0,2,1,64,12,24,25,76,False,10,11,False
12,13,0,6,13,13,0,1,0,2,1,64,13,26,27,77,False,12,13,False
13,14,0,6,14,14,0,1,0,2,1,64,14,28,29,78,False,14,15,False
14,15,0,6,15,15,0,1,0,2,1,64,15,30,31,79,False,16,17,False
15,16,0,6,16,16,0,1,0,2,1,64,16,32,33,80,False,18,19,False
16,17,0,6,17,17,0,1,0,2,1,64,17,34,35,81,False,20,21,False
17,18,0,6,18,18,0,1,0,2,1,64,18,36,37,82,False,22,23,False
18,19,0,6,19,19,0,1,0,2,1,64,19,38,39,83,False,24,25,False
19,20,0,6,20,20,0,1,0,2,1,64,20,40,41,84,False,26,27,False
20,21,0,6,21,21,0,1,0,2,1,64,21,42,43,85,False,28,29,False
21,22,0,6,22,22,0,1,0,2,1,64,22,44,45,86,False,30,31,False
22,23,0,6,23,23,0,1,0,2,1,64,23,46,47,87,False,32,33,False
23,24,0,6,24,24,0,1,0,2,1,64,24,48,49,88,False,34,35,False
24,25,0,6,25,25,0,1,0,2,1,64,25,50,51,89,False,36,37,False
25,26,0,6,26,26,0,1,0,2,1,64,26,52,53,90,False,38,39,False
26,27,0,6,27,27,0,1,0,2,1,64,27,54,55,91,False,40,41,False
27,28,0,6,28,28,0,1,0,2,1,64,28,56,57,92,False,42,43,False
28,29,0,6,29,29,0,1,0,2,1,64,29,58,59,93,False,44,45,False
29,30,0,6,30,30,0,1,0,2,1,64,30,60,61,94,False,46,47,False
30,31,0,6,31,31,0,1,0,2,1,64,31,62,63,95,False,48,49,False
31,32,0,6,32,32,0,1,0,2,1,64,32,64,65,96,False,50,51,False
32,33,0,6,33,33,0,1,0,2,1,64,33,66,67,97,False,52,53,False
33,34,0,6,34,34,0,1,0,2,1,64,34,68,69,98,False,54,55,False
34,35,0,6,35,35,0,1,0,2,1,64,35,70,71,99,False,56,57,False
35,36,0,6,36,36,0,1,0,2,1,64,36,72,73,100,False,58,59,False
36,37,0,6,37,37,0,1,0,2,1,64,37,74,75,101,False,60,61,False
37,38,0,6,38,38,0,1,0,2,1,64,38,76,77,102,False,62,63,False
38,39,0,6,39,39,0,1,0,2,1,64,39,78,79,103,False,64,65,False
39,40,0,6,40,40,0,1,0,2,1,64,40,80,81,104,False,66,67,False
40,41,0,6,41,41,0,1,0,2,1,64,41,82,83,105,False,68,69,False
41,42,0,6,42,42,0,1,0,2,1,64,42,84,85,106,False,70,71,False
42,43,0,6,43,43,0,1,0,2,1,64,43,86,87,107,False,72,73,False
43,44,0,6,44,44,0,1,0,2,1,64,44,88,89,108,False,74,75,False
44,45,0,6,45,45,0,1,0,2,1,64,45,90,91,109,False,76,77,False
45,46,0,6,46,46,0,1,0,2,1,64,46,92,93,110,False,78,79,False
46,47,0,6,47,47,0,1,0,2,1,64,47,94,95,111,False,80,81,False
47,48,0,6,48,48,0,1,0,2,1,64,48,96,97,112,False,82,83,False
48,49,0,6,49,49,0,1,0,2,1,64,49,98,99,113,False,84,85,False
49,50,0,6,50,50,0,1,0,2,1,64,50,100,101,114,False,86,87,False
50,51,0,6,51,51,0,1,0,2,1,64,51,102,103,115,False,88,89,False
51,52,0,6,52,52,0,1,0,2,1,64,52,104,105,116,False,90,91,False
52,53,0,6,53,53,0,1,0,2,1,64,53,106,107,117,False,92,93,False
53,54,0,6,54,54,0,1,0,2,1,64,54,108,109,118,False,94,95,False
54,55,0,6,55,55,0,1,0,2,1,64,55,110,111,119,False,96,97,False
55,56,0,6,56,56,0,1,0,2,1,64,56,112,113,120,False,98,99,False
56,57,0,6,57,57,0,1,0,2,1,64,57,114,115,121,False,100,101,False
57,58,0,6,58,58,0,1,0,2,1,64,58,116,117,122,False,102,103,False
58,59,0,6,59,59,0,1,0,2,1,64,59,118,119,123,False,104,105,False
59,60,0,6,60,60,0,1,0,2,1,64,60,120,121,124,False,106,107,False
60,61,0,6,61,61,0,1,0,2,1,64,61,122,123,125,False,108,109,False
61,62,0,6,62,62,0,1,0,2,1,64,62,124,125,126,False,110,111,False
62,0,1,5,0,0,0,2,1,4,2,32,0,0,2,32,False,112,113,False
63,1,1,5,1,0,1,2,1,4,2,32,0,1,3,32,False,114,115,False
64,2,1,5,2,1,0,2,1,4,2,32,1,4,6,33,False,116,117,False
65,3,1,5,3,1,1,2,1,4,2,32,1,5,7,33,False,118,119,False
66,4,1,5,4,2,0,2,1,4,2,32,2,8,10,34,False,120,121,False
67,5,1,5,5,2,1,2,1,4,2,32,2,9,11,34,False,122,123,False
68,6,1,5,6,3,0,2,1,4,2,32,3,12,14,35,False,124,125,False
69,7,1,5,7,3,1,2,1,4,2,32,3,13,15,35,False,0,2,False
70,8,1,5,8,4,0,2,1,4,2,32,4,16,18,36,False,1,3,False
71,9,1,5,9,4,1,2,1,4,2,32,4,17,19,36,False,4,6,False
72,10,1,5,10,5,0,2,1,4,2,32,5,20,22,37,False,5,7,False
73,11,1,5,11,5,1,2,1,4,2,32,5,21,23,37,False,8,10,False
74,12,1,5,12,6,0,2,1,4,2,32,6,24,26,38,False,9,11,False
75,13,1,5,13,6,1,2,1,4,2,32,6,25,27,38,False,12,14,False
76,14,1,5,14,7,0,2,1,4,2,32,7,28,30,39,False,13,15,False
77,15,1,5,15,7,1,2,1,4,2,32,7,29,31,39,False,16,18,False
78,16,1,5,16,8,0,2,1,4,2,32,8,32,34,40,False,17,19,False
79,17,1,5,17,8,1,2,1,4,2,32,8,33,35,40,False,20,22,False
80,18,1,5,18,9,0,2,1,4,2,32,9,36,38,41,False,21,23,False
81,19,1,5,19,9,1,2,1,4,2,32,9,37,39,41,False,24,26,False
82,20,1,5,20,10,0,2,1,4,2,32,10,40,42,42,False,25,27,False
